Neighborhoods,ATM,Afghan Restaurant,Airport,Airport Terminal,American Restaurant,Andhra Restaurant,Arcade,Art Gallery,Art Museum,Arts & Crafts Store,Asian Restaurant,Athletics & Sports,Auto Garage,Auto Workshop,Automotive Shop,BBQ Joint,Badminton Court,Bagel Shop,Bakery,Bank,Bar,Basketball Court,Bed & Breakfast,Beer Bar,Beer Garden,Bengali Restaurant,Big Box Store,Bike Shop,Bistro,Boarding House,Bookstore,Botanical Garden,Boutique,Bowling Alley,Boxing Gym,Breakfast Spot,Brewery,Bridge,Bubble Tea Shop,Buffet,Building,Burger Joint,Burrito Place,Bus Line,Bus Station,Bus Stop,Business Service,Butcher,Cafeteria,Caf√©,Candy Store,Capitol Building,Caribbean Restaurant,Castle,Chaat Place,Chettinad Restaurant,Chinese Restaurant,Chocolate Shop,Clothing Store,Cocktail Bar,Coffee Shop,Comfort Food Restaurant,Concert Hall,Construction & Landscaping,Convenience Store,Cosmetics Shop,Coworking Space,Creperie,Cricket Ground,Cupcake Shop,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Dive Bar,Donut Shop,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Financial or Legal Service,Flea Market,Food,Food & Drink Shop,Food Court,Food Service,Food Stand,Food Truck,French Restaurant,Fried Chicken Joint,Furniture / Home Store,Gaming Cafe,Garden,Garden Center,Gas Station,Gastropub,General Entertainment,German Restaurant,Golf Course,Gourmet Shop,Grocery Store,Gym,Gym / Fitness Center,Gym Pool,Halal Restaurant,Health Food Store,Hill,Historic Site,History Museum,Hockey Arena,Hookah Bar,Hospital,Hotel,Hotel Bar,Hotel Pool,Hyderabadi Restaurant,Ice Cream Shop,Indian Chinese Restaurant,Indian Restaurant,Indian Sweet Shop,Indie Movie Theater,Intersection,Italian Restaurant,Japanese Restaurant,Jewelry Store,Juice Bar,Kebab Restaurant,Kerala Restaurant,Kids Store,Korean Restaurant,Lake,Light Rail Station,Lighthouse,Liquor Store,Lounge,Maharashtrian Restaurant,Market,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant,Middle Eastern Restaurant,Miscellaneous Shop,Mobile Phone Shop,Modern European Restaurant,Monument / Landmark,Motorcycle Shop,Movie Theater,Moving Target,Multicuisine Indian Restaurant,Multiplex,Music Store,Music Venue,Neighborhood,Nightclub,Noodle House,North Indian Restaurant,Office,Other Great Outdoors,Outlet Store,Paintball Field,Pakistani Restaurant,Paper / Office Supplies Store,Park,Parsi Restaurant,Performing Arts Venue,Pharmacy,Pizza Place,Planetarium,Platform,Playground,Plaza,Pool,Pool Hall,Pub,Punjabi Restaurant,Racecourse,Racetrack,Rajasthani Restaurant,Recreation Center,Resort,Restaurant,Road,Roof Deck,Salad Place,Salon / Barbershop,Sandwich Place,Scenic Lookout,Science Museum,Seafood Restaurant,Shop & Service,Shopping Mall,Shopping Plaza,Smoke Shop,Snack Place,Soccer Field,Soccer Stadium,South Indian Restaurant,Southern / Soul Food Restaurant,Spa,Sporting Goods Shop,Sports Bar,Stadium,Steakhouse,Supermarket,Sushi Restaurant,Szechuan Restaurant,Tea Room,Tech Startup,Tex-Mex Restaurant,Thai Restaurant,Theater,Tibetan Restaurant,Toll Booth,Tourist Information Center,Toy / Game Store,Track Stadium,Trail,Train Station,Travel & Transport,Turkish Restaurant,Udupi Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wine Bar,Wine Shop,Women's Store,Yoga Studio
Global Village Tech Park,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0.038461538,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0.038461538,0.076923077,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0.115384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0
Gottigere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAL,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0,0,0,0.014925373,0,0.029850746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0.014925373,0,0,0.014925373,0,0,0,0,0.089552239,0,0,0,0,0,0,0.029850746,0,0.014925373,0,0.029850746,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0.044776119,0,0,0,0,0,0,0,0,0.029850746,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0,0,0.014925373,0,0,0.014925373,0.029850746,0,0,0,0,0,0.28358209,0,0,0,0,0,0,0.014925373,0,0,0,0.029850746,0,0,0,0,0,0,0,0,0,0,0,0.029850746,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0,0,0,0,0.029850746,0,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029850746,0,0.014925373,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0,0,0,0.014925373,0,0.014925373,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBR Layout,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.016666667,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0,0.016666667,0.016666667,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0.05,0,0.016666667,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0.016666667,0,0,0,0.033333333,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0.016666667,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0.016666667,0.15,0,0,0,0,0,0,0,0,0.033333333,0.016666667,0.033333333,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0,0,0.016666667,0.05,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0.033333333,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0
HSR Layout,0,0,0,0,0.013513514,0,0,0,0,0,0.013513514,0,0.013513514,0,0.013513514,0.013513514,0,0,0.027027027,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0.013513514,0,0,0,0,0.094594595,0,0,0,0,0,0.013513514,0.040540541,0,0.013513514,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0.013513514,0,0.013513514,0,0.013513514,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0.067567568,0,0.175675676,0,0.013513514,0,0.040540541,0,0,0,0.013513514,0,0,0,0,0,0,0.027027027,0,0.013513514,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0.013513514,0,0,0,0.067567568,0,0,0,0,0,0,0.013513514,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0
Hebbal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0.025,0,0.025,0,0,0,0.025,0,0,0,0,0.075,0,0,0,0,0,0,0.025,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0.25,0,0,0,0.025,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hesaraghatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoodi,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0.023255814,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0.046511628,0.069767442,0,0,0,0,0,0,0,0,0,0,0,0,0.069767442,0,0,0,0,0,0,0,0,0,0.023255814,0.093023256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0.11627907,0,0,0,0.023255814,0,0.069767442,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0.023255814,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0.023255814,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0.023255814,0.023255814,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0.023255814,0,0,0,0,0
Horamavu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hosur Road,0,0,0,0,0,0,0.010309278,0,0,0,0.010309278,0,0,0,0,0,0,0.010309278,0.020618557,0,0,0.010309278,0.010309278,0,0,0,0,0,0.010309278,0,0,0.010309278,0.010309278,0,0,0.020618557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06185567,0,0,0,0,0,0,0.010309278,0,0,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0,0.010309278,0.041237113,0,0,0,0,0,0,0,0,0.010309278,0,0.010309278,0,0,0,0.010309278,0,0,0.010309278,0,0,0,0,0,0,0,0,0.010309278,0,0.020618557,0,0.010309278,0.010309278,0,0.06185567,0,0,0,0.041237113,0,0.195876289,0,0,0,0,0.020618557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010309278,0,0,0,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030927835,0,0,0,0.020618557,0,0,0,0,0.010309278,0,0.010309278,0,0,0,0,0,0,0.020618557,0,0,0,0.020618557,0.010309278,0,0,0.010309278,0.010309278,0,0,0,0.020618557,0,0,0.010309278,0.010309278,0,0,0,0.010309278,0,0,0.010309278,0,0.010309278,0,0,0,0.020618557,0,0,0,0,0.010309278,0,0,0,0,0,0.030927835,0,0.010309278,0,0,0
Hulimavu,0,0,0,0,0.018867925,0,0,0,0,0,0,0,0,0,0,0.018867925,0.018867925,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0,0.018867925,0.018867925,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0,0.094339623,0,0,0,0,0,0,0.018867925,0,0.037735849,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0.037735849,0,0,0,0.018867925,0,0,0.018867925,0,0.018867925,0,0,0,0,0.075471698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056603774,0,0.132075472,0,0,0,0.018867925,0,0,0,0.018867925,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0.056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075471698,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0.018867925,0,0,0,0,0,0.037735849,0,0,0.018867925,0,0,0,0.018867925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISKCON Temple,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.02,0,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0.12,0.01,0,0,0,0,0.01,0.02,0,0.01,0,0.04,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0.07,0,0.13,0,0.01,0,0.06,0,0,0.01,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.01
ITPL,0,0,0,0,0,0.039473684,0,0,0,0,0.039473684,0,0,0,0,0.039473684,0.013157895,0,0.013157895,0,0,0,0,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0.013157895,0.013157895,0,0,0,0,0.013157895,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0.039473684,0,0.013157895,0,0.026315789,0,0,0,0,0,0,0.013157895,0,0,0,0,0.026315789,0.013157895,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0.013157895,0.013157895,0.052631579,0,0.184210526,0,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0,0,0.013157895,0,0.013157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039473684,0,0,0,0,0,0,0,0,0,0.026315789,0,0.013157895,0,0.039473684,0,0,0,0.013157895,0.013157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0.013157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0
Indiranagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infosys,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0.08,0.01,0,0,0,0,0,0.02,0,0.02,0,0.03,0,0,0,0.01,0,0,0.01,0,0,0,0,0.03,0.03,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.03,0,0.19,0,0.01,0.01,0.03,0,0,0.02,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01
J. P. Nagar,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0.04,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0,0.07,0,0,0,0.05,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.05,0,0.15,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0.02,0,0,0.04,0,0,0.04,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Jalahalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayanagar,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.01,0,0,0,0,0,0.05,0,0,0,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.08,0.01,0.22,0,0,0,0.02,0,0.02,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.03,0,0,0.01,0,0.03,0,0,0.01,0.01,0,0,0,0.02,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
Jigani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K. R. Market,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658228,0.025316456,0,0,0,0.012658228,0,0,0,0.012658228,0,0,0,0,0,0,0,0,0.025316456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658228,0,0,0,0,0,0,0,0,0,0,0.037974684,0,0,0,0,0,0,0,0,0,0,0,0.025316456,0.025316456,0,0,0,0,0,0,0,0,0,0,0,0,0.063291139,0,0,0.012658228,0,0,0.012658228,0,0,0.012658228,0,0,0,0,0,0,0,0,0.012658228,0,0,0,0,0,0,0,0,0,0,0.012658228,0,0,0,0,0.050632911,0,0,0,0.037974684,0,0.265822785,0,0,0,0,0.012658228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658228,0.025316456,0,0,0,0,0.012658228,0,0,0.012658228,0,0,0,0,0,0,0,0,0,0,0,0,0.025316456,0,0,0,0,0,0,0,0,0.012658228,0,0,0,0,0,0,0,0,0.025316456,0,0,0,0,0.012658228,0,0,0.012658228,0,0.012658228,0,0,0.012658228,0,0,0.012658228,0,0,0,0,0.012658228,0,0,0,0,0,0,0,0,0.025316456,0,0,0,0,0.012658228,0,0,0,0,0,0.063291139,0,0,0,0,0
Kalyan Nagar,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.026315789,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0.026315789,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0.105263158,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0.052631579,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.026315789,0,0,0.026315789,0,0,0,0,0.052631579,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0
